Variable,Scaled_RF,Scaled_XGB,Scaled_DL,Avg_Scaled_Importance
ATS5v,1.0,1.0,0.958551824092865,0.9861839413642883
ATS5p,0.8510985006160773,0.1664393635854966,0.930209755897522,0.6492492066996985
ATS2i,0.3471330997959002,0.7389898055800347,0.8078824877738953,0.6313351310499434
piPC1,0.7327699750897102,0.1820351701754091,0.921143352985382,0.6119828327501672
VP-2,0.4884546566855857,0.3209713822766726,0.9758352637290956,0.595087100897118
SpMax_Dt,0.3690808943822701,0.4418301272508621,0.908617377281189,0.5731761329714403
ATS6v,0.7403467121618023,0.0835418504973226,0.8768457174301147,0.5669114266964131
MWC5,0.6242545925379925,0.2072516175912868,0.861320436000824,0.5642755487100345
ATS2p,0.6724008651018399,0.1249778905572631,0.8697025179862976,0.5556937578818002
SpMAD_Dzv,0.4328774325850785,0.3037348559796113,0.8476345539093018,0.5280822808246638
MLFER_L,0.5622282058943945,0.0809451047418854,0.867713212966919,0.5036288412010662
ATS1p,0.3044599754352107,0.39783821309825,0.7924247980117798,0.49824099551508017
VR3_Dzi,0.2936754427373111,0.1377270293790654,0.9959123134613036,0.47577159519256007
ATS3i,0.3050176454818767,0.2322341741177621,0.8713948726654053,0.4695488974216813
SRW6,0.6019770065037281,0.0135315239894325,0.7720387578010559,0.4625157627647389
SP-3,0.5489525218744369,0.0407772858959954,0.7681889533996582,0.4526395870566968
MWC4,0.4502805258223425,0.0993298587621309,0.8013986945152283,0.4503363596999006
CrippenMR,0.2707900010012662,0.1115000880112222,0.9619318842887878,0.4480739911004254
SpMAD_Dze,0.4131601224344021,0.0929528900145983,0.8333709836006165,0.4464946653498723
SpAD_Dt,0.3363966973679226,0.0,1.0,0.44546556578930757
EE_Dt,0.364270265339462,0.0,0.9634060263633728,0.44255876390094495
SP-2,0.4118816728447304,0.0819353317046754,0.8181857466697693,0.4373342504063917
SRW8,0.4638700475860822,0.0051588781178224,0.7852236032485962,0.4180841763175003
ATS7v,0.1900770187088011,0.1554762317092348,0.8831601738929749,0.40957114143700357
ATS4v,0.4118255412538809,0.0061280945932957,0.798698902130127,0.40555084599243446
TIC1,0.2634174566604904,0.1483002483177155,0.8047729134559631,0.4054968728113897
TIC2,0.238821273784844,0.061396074102321,0.91569185256958,0.405303066818915
SpMAD_Dzi,0.2989698458353442,0.0566521353361407,0.8502222299575806,0.40194807037635516
MWC3,0.3515333613974975,0.0083289142588227,0.7980404496192932,0.38596757509187113
TIC0,0.2320225734146887,0.0325082387888063,0.8783863186836243,0.3809723769623731
ATS3p,0.2877651826165699,1.5833861547940705e-05,0.8539721965789795,0.3805844043523658
SRW4,0.3330838813463321,0.000525125878012,0.8032510876655579,0.3789533649633006
SP-0,0.328871956647424,0.0,0.8027849793434143,0.3772189786636128
SP-4,0.2109838952740136,0.0536140478991479,0.862973153591156,0.3758570322547725
VP-0,0.1847610952384261,0.1052564453646522,0.8313930630683899,0.37380353455715604
Kier3,0.2279165499909318,0.0217420109910234,0.8659752607345581,0.3718779405721711
ATS1s,0.1581913633105717,0.1337805056991176,0.8148743510246277,0.368948740011439
nC,0.1903140608998887,0.0193387036055974,0.8932225704193115,0.3676251116415992
SpDiam_Dt,0.2496976870946181,0.0040539910044189,0.8399554491043091,0.3645690424011154
SpDiam_Dze,0.2382175533223197,0.0247883065290108,0.8278724551200867,0.3636261049904724
ATS0i,0.2738967401884475,0.0215986210058568,0.7945556640625,0.3633503417522681
nBondsS2,0.2376130743247839,0.0,0.8521728515625,0.3632619752957613
ATS2e,0.2477557395897431,0.0072313051332012,0.8286285400390625,0.36120519492066894
ETA_Eta_L,0.2224132561382855,0.0117335603496789,0.8398022651672363,0.3579830272184002
ETA_Eta_R,0.2655794037875659,0.0011747071614084,0.8053144216537476,0.3573561775342406
ATS7e,0.1631646124722926,0.0451485573268702,0.8629854917526245,0.3570995538505957
ATS4p,0.2285104339671782,0.022725099186799,0.8175956010818481,0.35627704474527516
nBondsS,0.2448049649884707,0.0457906523930189,0.7708593010902405,0.35381830615724336
SpAbs_Dzp,0.1909821222595965,0.0157348762880705,0.8369274735450745,0.34788149069758045
SpMax_Dzp,0.1877138151149699,0.0025131944112684,0.8504600524902344,0.34689568733882425
Kier2,0.1997283857405988,0.0093917870624166,0.8262744545936584,0.34513154246555794
SpDiam_Dzi,0.2223685759792222,0.0035916255058986,0.8047836422920227,0.3435812812590478
MWC2,0.1940649553594805,0.0081902118665194,0.8266364932060242,0.34296388681067463
SpMAD_D,0.1737222942640169,0.004168466761569,0.8482691645622253,0.34205330852927046
ATS2v,0.1949035402835433,0.0,0.8290090560913086,0.3413041987916173
Kier1,0.2019593106159764,0.0342101534286319,0.7836965322494507,0.3399553320980197
MPC2,0.2197969465393332,0.0,0.7993472218513489,0.339714722796894
WPOL,0.0899056130416343,0.0530625144611869,0.8754115104675293,0.3394598793234502
ATS3e,0.209597537961741,0.00366215526509,0.8026478290557861,0.33863584076087233
SpDiam_Dzp,0.1808559245450478,0.0208424582178926,0.8069450259208679,0.33621446956126944
VR3_Dzp,0.1339040632322615,0.038996314595237,0.8284268975257874,0.33377575845109525
ETA_Eta,0.176700730924337,0.018359741676399,0.7958517074584961,0.33030406001974405
VP-1,0.1515276577035886,0.0194001473583694,0.819553554058075,0.330160453040011
VABC,0.143524868643758,0.0,0.8465733528137207,0.33003274048582626
SpAD_Dze,0.2003337211486314,0.0,0.7892361283302307,0.329856616492954
ETA_Beta_s,0.1544948631519645,0.0,0.8326903581619263,0.3290617404379636
SpAD_Dzp,0.1866473882954426,0.0,0.7980843782424927,0.32824392217931175
ATS1m,0.1338897856458357,0.0215415286426053,0.8270387649536133,0.3274900264140181
Sse,0.1693747875490246,0.0,0.7990188002586365,0.32279786260255366
AMR,0.1149568129314657,0.0369089776280876,0.8143764138221741,0.32208073479390914
Si,0.1989870523456692,0.0,0.7663778066635132,0.3217882863363941
MW,0.1279960053099408,0.0150703266894102,0.8219478130340576,0.3216713816778029
ATS1v,0.1336135810261716,0.035675369066553,0.7916618585586548,0.3203169362171265
ATS1i,0.135213759570632,0.0114485043471477,0.8138986229896545,0.32018696230247806
SpMAD_Dzm,0.1135103111334441,0.0,0.844123125076294,0.319211145403246
ATS3v,0.1583396691397518,0.001859555499725,0.7972351312637329,0.3191447853010699
EE_Dze,0.1906797114787292,0.0,0.7636028528213501,0.31809418810002643
ATS6e,0.1228247540413522,0.0045912009951192,0.8252131342887878,0.3175430297750864
nBondsS3,0.0750996274565401,0.0090265858110364,0.8671203255653381,0.31708217961097157
ATS0e,0.1578023082562963,0.0124029456484019,0.7792453169822693,0.3164835236289892
EE_Dzp,0.1728030477055882,0.0,0.7670056819915771,0.3132695765657218
SpAbs_Dze,0.1295171861032862,0.0002681076791444,0.8071616291999817,0.31231564099413744
Zagreb,0.1694248508597823,0.0,0.7569361925125122,0.3087870144574315
ATS4e,0.1180485282316454,0.0259975262780087,0.7812244296073914,0.3084234947056818
ATS0p,0.0901670262285746,0.0,0.8297238945960999,0.3066303069415582
ATS5e,0.100048149845019,0.0005617404770299,0.8156806826591492,0.3054301909937327
Sare,0.1352735003200039,0.0,0.7801538705825806,0.3051424569675281
ATS1e,0.1191492604087887,0.0,0.7955554127693176,0.30490155772603544
SpMax_Dzi,0.0987796162654571,0.0,0.8156529068946838,0.3048108410533803
apol,0.0821478919626902,0.0101972280777884,0.8216310739517212,0.30465873133073323
TIC4,0.1019616645213991,0.0006463199165805,0.8112679719924927,0.3046253188101574
MPC3,0.1199000632569261,0.0068802407140103,0.7856010794639587,0.3041271278116317
ATSC0v,0.1420734241337261,0.0086428733813304,0.7608469128608704,0.3038544034586423
SpMAD_DzZ,0.1365264166424343,0.0038292257401118,0.7697710990905762,0.30337558049104074
Spe,0.1168729702459503,0.0,0.7877328395843506,0.30153526994343366
TWC,0.1370507111485952,0.0090719177221141,0.7581270933151245,0.3014165740619446
SpMax_Dze,0.1488210335005275,0.0005636132000002,0.7487245798110962,0.2993697421705413
TIC3,0.1132613158987078,0.0,0.7829161286354065,0.2987258148447048
SpDiam_DzZ,0.0985114557872453,0.0084251084038062,0.7868033051490784,0.2979132897800433
Sp,0.08532107636999,0.0018248478734673,0.800646185874939,0.29593070337279875
Sv,0.0668307883586506,0.0,0.811364471912384,0.29273175342367824
EE_Dzi,0.1010241213644273,0.0,0.7765766978263855,0.2925336063969376
SpAbs_Dzi,0.1012393923772418,0.0073376912751162,0.7676736116409302,0.29208356509776273
EE_Dzv,0.067507181369049,0.0,0.8039419054985046,0.2904830289558512
TIC5,0.101894760509943,0.0003448349840976,0.7670475244522095,0.2897623733154167
SpAbs_Dzm,0.0595688494335407,0.0,0.8088491559028625,0.28947266844546776
SpDiam_Dzv,0.0860754149700359,0.0004509183393567,0.7784329652786255,0.288319766196006
nBonds2,0.085905955801584,0.0012479715349041,0.7751893997192383,0.2874477756852421
EE_D,0.0529127842316329,0.0,0.8081578016281128,0.28702352861991526
nAtom,0.1047365201721864,0.0085639981517169,0.7463104724884033,0.28653699693743556
SpMax_Dzv,0.0684898818280752,0.0,0.7901709675788879,0.2862202831356544
WTPT-1,0.0681830605331493,0.0025233804839119,0.7879322171211243,0.2862128860460618
SpAD_D,0.0605241753427575,0.0,0.7980441451072693,0.2861894401500089
ECCEN,0.079037048122342,0.0,0.7695538401603699,0.28286362942757065
SpAbs_Dzv,0.071627727067945,0.0,0.7740550637245178,0.2818942635974876
ZMIC0,0.0717349985998911,0.0155101754503951,0.7583851218223572,0.2818767652908811
WPATH,0.0687479917173849,0.0,0.776110053062439,0.2816193482599413
ATS0v,0.0681074211346254,0.0,0.7764826416969299,0.28153002094385177
ETA_Alpha,0.0737303677681149,0.0017522025880654,0.7682031989097595,0.2812285897553133
McGowan_Volume,0.0646006220182845,0.0006476954621956,0.7764852643013,0.2805778605939267
SpDiam_D,0.1034481117518801,0.0021555225596412,0.7332601547241211,0.2796212630118808
SpDiam_Dzm,0.0914407349744246,0.0,0.7436431646347046,0.27836129986970976
EE_DzZ,0.0612098971103535,0.0,0.7737945318222046,0.27833480964418605
SpAD_Dzv,0.0627247037627153,0.0,0.7694305181503296,0.277385073971015
SP-1,0.0620672924792574,0.0017878671719657,0.7680217027664185,0.2772922874725472
EE_Dzm,0.0601857769693697,0.0,0.771018922328949,0.27706823309943956
SpAD_Dzi,0.0945691535816114,0.0,0.7346741557121277,0.27641443643124636
nBonds,0.0390889516145686,0.0,0.7897184491157532,0.2762691335767739
nHeavyAtom,0.0279395115797954,0.0,0.7936829328536987,0.273874148144498
SpMax_Dzm,0.0527369081016726,0.0,0.7665014863014221,0.27307946480103157
SpMax_DzZ,0.0454469676119252,0.0,0.7733914852142334,0.2729461509420529
SpAbs_DzZ,0.0507782177715846,0.0,0.7620179653167725,0.2709320610294524
SpMax_D,0.0534615904296567,0.0,0.7586570382118225,0.27070620954715974
ETA_Eta_R_L,0.0515284027807208,0.0,0.7599228620529175,0.2704837549445461
SRW2,0.0604551853600198,0.0,0.7458874583244324,0.26878088122815075
SpAD_Dzm,0.0615074814063493,0.0,0.7390135526657104,0.26684034469068657
VAdjMat,0.0287928604091019,0.0,0.7645326256752014,0.2644418286947678
SpAD_DzZ,0.0515926580368546,0.0,0.7391896843910217,0.26359411414262546
